zone_id,impact_mean,impact_max,impact_std,impact_count,priority,rank
Z-13-04,1.6292826361440491,65.14278411865234,7.179267362358747,68310,VERY LOW,224
Z-10-10,1.606199772472033,83.63961791992188,7.985886713538042,68563,VERY LOW,225
Z-13-12,1.6027189924608403,80.73632049560547,8.083960127123973,68310,VERY LOW,226
Z-10-11,1.5847240521153565,66.69136047363281,8.129434053950687,68310,VERY LOW,227
Z-11-11,1.3982944252305665,72.64484405517578,8.083693108475595,68310,VERY LOW,228
Z-17-11,1.3941425120772948,84.3734359741211,9.079159541795478,68310,VERY LOW,229
Z-12-12,1.3765537283100029,75.55467987060547,8.316925571138597,68580,VERY LOW,230
Z-11-10,1.2901625375566996,84.17474365234375,7.4379514182338715,68563,VERY LOW,231
Z-14-04,1.2641569682330551,62.831050872802734,6.104686795876812,68310,VERY LOW,232
Z-18-09,1.1840315413515452,77.74774932861328,8.052479318223416,61352,VERY LOW,233
Z-13-06,1.1274689833113747,59.01191329956055,6.227403503257182,68310,VERY LOW,234
Z-18-11,1.1268861252512807,83.98817443847656,7.208199557040411,61684,VERY LOW,235
Z-09-08,1.074029646033829,73.80317687988281,7.600176523461334,68580,VERY LOW,236
Z-10-12,1.0514670024520567,71.87629699707031,6.876832447508021,68310,VERY LOW,237
Z-11-02,0.9450334387395971,54.62167739868164,5.630341453156468,25714,VERY LOW,238
Z-16-05,0.7932377442907335,67.70651245117188,5.2997452657749395,68310,VERY LOW,239
Z-14-05,0.7758808076233348,61.45103454589844,4.2096743782007175,68310,VERY LOW,240
Z-16-06,0.7715299507758747,69.36274719238281,5.271751880999614,68310,VERY LOW,241
Z-13-10,0.7702721857999213,76.78042602539062,5.924271098359953,68563,VERY LOW,242
Z-10-09,0.7646030156571328,67.59909057617188,5.591469235097563,68563,VERY LOW,243
Z-17-09,0.7400831397765558,77.9122314453125,6.841900989732288,68563,VERY LOW,244
Z-14-11,0.7340256047796808,70.59574127197266,5.301445871628202,68310,VERY LOW,245
Z-09-09,0.6627945038062585,68.64739990234375,5.472601624738079,68834,VERY LOW,246
Z-15-05,0.6088071754702538,62.727622985839844,4.703216511942428,68580,VERY LOW,247
Z-13-11,0.5996789681232616,73.86885070800781,4.683167014122109,68310,VERY LOW,248
Z-11-12,0.5765054302078758,68.99026489257812,4.791683719317789,68310,VERY LOW,249
Z-15-04,0.4910323709536308,72.45291137695312,4.536650288095465,68580,VERY LOW,250
Z-15-06,0.42794005404272384,70.66600036621094,4.200053526005807,68580,VERY LOW,251
Z-10-18,0.40583567023802036,74.57884216308594,4.1536095559472415,39755,VERY LOW,252
Z-13-05,0.3034362533853023,64.34516906738281,2.815400745188146,68310,VERY LOW,253
Z-11-01,0.10291373712231568,51.766597747802734,1.531158654198221,6822,VERY LOW,254
Z-19-03,0.0,0.0,0.0,2142,VERY LOW,255
Z-19-04,0.0,0.0,0.0,26315,VERY LOW,256
Z-16-14,0.0,0.0,0.0,6620,VERY LOW,257
Z-10-02,0.0,0.0,0.0,1224,VERY LOW,258
Z-19-09,0.0,0.0,0.0,16198,VERY LOW,259
Z-19-05,0.0,0.0,0.0,5194,VERY LOW,260
Z-19-08,0.0,0.0,0.0,22578,VERY LOW,261
Z-10-19,0.0,0.0,0.0,2588,VERY LOW,262
Z-08-04,0.0,0.0,0.0,9890,VERY LOW,263
Z-11-19,0.0,0.0,0.0,26,VERY LOW,264
Z-12-00,0.0,0.0,0.0,494,VERY LOW,265
Z-07-04,0.0,0.0,0.0,210,VERY LOW,266
Z-13-00,0.0,0.0,0.0,6897,VERY LOW,267
Z-14-00,0.0,0.0,0.0,6544,VERY LOW,268
Z-15-00,0.0,0.0,0.0,13730,VERY LOW,269
Z-06-04,0.0,0.0,0.0,2360,VERY LOW,270
Z-16-00,0.0,0.0,0.0,38,VERY LOW,271
Z-15-14,0.0,0.0,0.0,11507,VERY LOW,272
Z-15-15,0.0,0.0,0.0,747,VERY LOW,273
Z-04-16,0.0,0.0,0.0,9947,VERY LOW,274
Z-04-17,0.0,0.0,0.0,253,VERY LOW,275
Z-04-11,0.0,0.0,0.0,9026,VERY LOW,276
Z-04-12,0.0,0.0,0.0,4662,VERY LOW,277
Z-04-10,0.0,0.0,0.0,19994,VERY LOW,278
Z-03-10,0.0,0.0,0.0,1065,VERY LOW,279
Z-19-11,0.0,0.0,0.0,4390,VERY LOW,280
Z-19-12,0.0,0.0,0.0,610,VERY LOW,281
