ward_number_2017,ward_number_2022,raw_weight,weight
041N,41,0.7627964108817296,0.7627964101080553
041N,42,0.010579686231510383,0.010579686220779826
041S,126,0.00045659060485391,0.00045868332888076874
041S,127,0.8178895475084205,0.8216382385440916
041S,128,0.17709140257091568,0.1779030781270276
042E,224,0.024852254127759734,0.024854808358641997
042E,225,0.07591811203509496,0.07592591464266876
042E,226,0.5365083052224795,0.5365634457370881
042E,227,0.2872024582713859,0.28723197597165595
042E,228,0.02420364068675089,0.024206128255330684
042E,229,0.01879987607566133,0.018801808263534846
042E,235,0.032412587514623815,0.0324159187710796
042N,34,0.0003234862145138294,0.00032348483823185586
042N,37,0.6769480408182378,0.6769451607221354
042N,38,0.021643709280585142,0.02164361719676337
042N,40,0.011269761653148929,0.011269713705603984
042N,41,0.2678517730116444,0.2678506334281004
042N,42,0.0031791273125576732,0.003179113786863484
042N,44,0.01878835625793676,0.018788276322301577
042S,35,0.0012896904422752334,0.0012896904972523092
042S,110,0.01785980814084489,0.01785980890217489
042S,111,0.0075928488486150395,0.007592849172283893
042S,124,0.017320738337359195,0.017320739075709666
042S,128,0.947225984699175,0.9472260250776356
042S,129,0.008710886903614917,0.008710887274943627
043E,226,0.5091392965168133,0.5092448800949537
043E,228,0.035495318585708605,0.03550267948432545
043E,229,0.37928644890453445,0.3793651040401515
043E,230,0.008632362706653811,0.008634152856714138
043E,231,0.06416904999912837,0.06418235715878218
043E,233,0.003070189679564366,0.0030708263650729407
043N,37,0.04668983892363273,0.04668983892363233
043N,38,0.8925989351948821,0.8925989351948743
043N,39,0.025289388952958135,0.025289388952957917
043N,40,0.03542183692853557,0.03542183692853527
043S,125,0.0063515346654407475,0.006351534665440814
043S,126,0.6277053168198876,0.6277053168198943
043S,127,0.13318906949803755,0.13318906949803896
043S,128,0.1178914876239337,0.11789148762393495
043S,129,0.1148625913926899,0.1148625913926911
044E,229,0.03521235944022807,0.03521238450144431
044E,230,0.7087371324539157,0.7087376368738074
044E,231,0.00597812258311266,0.0059781268378409766
044E,232,0.029315897887899043,0.029315918752506474
044E,244,4.699499447341629e-05,4.699502792052798e-05
044E,246,0.08572483904565367,0.08572490005743372
044E,247,0.006971381906803148,0.006971386868450486
044E,249,0.0680076132518362,0.0680076616539748
044E,250,0.06000494672011227,0.060004989426621275
044N,33,0.042672390952075395,0.04267238279259718
044N,38,0.0016213292552389894,0.00162132894522119
044N,39,0.9416768182787821,0.9416766382187641
044N,40,0.014029652726057077,0.014029650043417477
044S,121,0.025852801030164494,0.025852820236714532
044S,123,0.062472224691542885,0.06247227110337687
044S,124,0.023199063647930222,0.02319908088296701
044S,128,0.0391218262066995,0.0391218552710671
044S,129,0.849353341504714,0.8493539725058745
045E,230,0.017641749062031017,0.017641750321728166
045E,232,0.1976545380648257,0.19765455217821418
045E,239,0.28692665508109544,0.286926675568899
045E,244,0.018980816165829962,0.01898081752114229
045E,245,0.23250914867630923,0.23250916527846757
045E,246,0.22467059631960049,0.22467061236205232
045E,247,0.021616425225990266,0.021616426769496475
045N,25,0.01912991377612024,0.01912483122441855
045N,26,0.252213265642263,0.2521462560897119
